trading_session_uuid,trader_uuid,trader_type,order_id,status,order_type,amount,price,timestamp,order_json,created_ts
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,6397cd84-7a89-4d38-990b-bdd4428dd471,active,-1,1.0,65.0,2026-02-16T22:43:26.829197+00:00,"{""amount"": 1, ""id"": ""6397cd84-7a89-4d38-990b-bdd4428dd471"", ""order_type"": -1, ""price"": 65, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:26.829197+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281806.833853
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,d2b744b4-b8e2-4222-90b0-9ffbad5fff90,active,1,1.0,60.0,2026-02-16T22:43:29.997376+00:00,"{""amount"": 1, ""id"": ""d2b744b4-b8e2-4222-90b0-9ffbad5fff90"", ""order_type"": 1, ""price"": 60, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:29.997376+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281810.007581
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,ad362ea2-0710-43c2-8c94-e5dcc1010f31,executed,-1,0.0,60.0,2026-02-16T22:43:05.565807+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:30.022863+00:00"", ""id"": ""ad362ea2-0710-43c2-8c94-e5dcc1010f31"", ""order_type"": -1, ""price"": 60, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:05.565807+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281810.027828
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,d2b744b4-b8e2-4222-90b0-9ffbad5fff90,executed,1,0.0,60.0,2026-02-16T22:43:29.997376+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:30.034298+00:00"", ""id"": ""d2b744b4-b8e2-4222-90b0-9ffbad5fff90"", ""order_type"": 1, ""price"": 60, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:29.997376+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281810.038053
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,be0c566b-fd4f-409d-954a-c15bc4c90890,active,1,1.0,61.0,2026-02-16T22:43:33.786181+00:00,"{""amount"": 1, ""id"": ""be0c566b-fd4f-409d-954a-c15bc4c90890"", ""order_type"": 1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:33.786181+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281813.790098
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,7b859585-34bf-4eca-b785-37213f4a89c0,executed,-1,0.0,61.0,2026-02-16T22:43:05.874434+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:33.800709+00:00"", ""id"": ""7b859585-34bf-4eca-b785-37213f4a89c0"", ""order_type"": -1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:05.874434+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281813.804058
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,be0c566b-fd4f-409d-954a-c15bc4c90890,executed,1,0.0,61.0,2026-02-16T22:43:33.786181+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:33.807287+00:00"", ""id"": ""be0c566b-fd4f-409d-954a-c15bc4c90890"", ""order_type"": 1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:33.786181+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281813.810648
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,6d24672a-452e-462e-bc81-d8d9c51a0223,active,1,1.0,61.0,2026-02-16T22:43:36.152024+00:00,"{""amount"": 1, ""id"": ""6d24672a-452e-462e-bc81-d8d9c51a0223"", ""order_type"": 1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:36.152024+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281816.155894
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,c78c4dff-1fde-4f5f-87a8-999b41da76a6,executed,-1,0.0,61.0,2026-02-16T22:43:13.584357+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:36.166633+00:00"", ""id"": ""c78c4dff-1fde-4f5f-87a8-999b41da76a6"", ""order_type"": -1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:13.584357+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281816.170242
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,6d24672a-452e-462e-bc81-d8d9c51a0223,executed,1,0.0,61.0,2026-02-16T22:43:36.152024+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:36.173596+00:00"", ""id"": ""6d24672a-452e-462e-bc81-d8d9c51a0223"", ""order_type"": 1, ""price"": 61, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:36.152024+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281816.17708
bc96160b-a753-413d-b47b-cf072bdd6b94,46d0b9d0-33dc-4ad8-834a-587c19744e8d,,42dc5e80-08e8-491c-81a6-10a6862f36b1,active,1,1.0,35.0,2026-02-16T22:43:37.700777+00:00,"{""amount"": 1, ""id"": ""42dc5e80-08e8-491c-81a6-10a6862f36b1"", ""order_type"": 1, ""price"": 35, ""session_id"": ""bc96160b-a753-413d-b47b-cf072bdd6b94"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:37.700777+00:00"", ""trader_id"": ""46d0b9d0-33dc-4ad8-834a-587c19744e8d""}",1771281817.705049
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,edaf76b8-c767-44b8-810d-ac5920294a16,active,1,1.0,95.0,2026-02-16T22:43:39.789454+00:00,"{""amount"": 1, ""id"": ""edaf76b8-c767-44b8-810d-ac5920294a16"", ""order_type"": 1, ""price"": 95, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:39.789454+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281819.795585
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,df61d44f-92ed-47fb-b62e-cb72d042b0d4,active,-1,1.0,105.0,2026-02-16T22:43:39.816000+00:00,"{""amount"": 1, ""id"": ""df61d44f-92ed-47fb-b62e-cb72d042b0d4"", ""order_type"": -1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:39.816000+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281819.819695
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,1cad1250-de17-4ce5-a765-03af18822e7c,active,1,1.0,105.0,2026-02-16T22:43:41.486116+00:00,"{""amount"": 1, ""id"": ""1cad1250-de17-4ce5-a765-03af18822e7c"", ""order_type"": 1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:41.486116+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281821.490308
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,df61d44f-92ed-47fb-b62e-cb72d042b0d4,executed,-1,0.0,105.0,2026-02-16T22:43:39.816000+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:41.512397+00:00"", ""id"": ""df61d44f-92ed-47fb-b62e-cb72d042b0d4"", ""order_type"": -1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:39.816000+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281821.516235
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,1cad1250-de17-4ce5-a765-03af18822e7c,executed,1,0.0,105.0,2026-02-16T22:43:41.486116+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:41.519695+00:00"", ""id"": ""1cad1250-de17-4ce5-a765-03af18822e7c"", ""order_type"": 1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:41.486116+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281821.537674
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,2f742594-e86f-4771-88d0-b1b609cce153,active,-1,1.0,105.0,2026-02-16T22:43:41.832696+00:00,"{""amount"": 1, ""id"": ""2f742594-e86f-4771-88d0-b1b609cce153"", ""order_type"": -1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:41.832696+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281821.836749
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,3a957ade-1d26-403c-a8aa-ea8cc46af29f,active,1,1.0,105.0,2026-02-16T22:43:42.515781+00:00,"{""amount"": 1, ""id"": ""3a957ade-1d26-403c-a8aa-ea8cc46af29f"", ""order_type"": 1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:42.515781+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281822.521576
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,2f742594-e86f-4771-88d0-b1b609cce153,executed,-1,0.0,105.0,2026-02-16T22:43:41.832696+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:42.532956+00:00"", ""id"": ""2f742594-e86f-4771-88d0-b1b609cce153"", ""order_type"": -1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:41.832696+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281822.53641
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,3a957ade-1d26-403c-a8aa-ea8cc46af29f,executed,1,0.0,105.0,2026-02-16T22:43:42.515781+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:42.541823+00:00"", ""id"": ""3a957ade-1d26-403c-a8aa-ea8cc46af29f"", ""order_type"": 1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:42.515781+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281822.545574
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,9971711a-2a22-4578-9dbf-cbb81e5bda8b,active,-1,1.0,105.0,2026-02-16T22:43:42.744066+00:00,"{""amount"": 1, ""id"": ""9971711a-2a22-4578-9dbf-cbb81e5bda8b"", ""order_type"": -1, ""price"": 105, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:42.744066+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281822.748209
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,2f91dcaa-614c-45ae-82a6-e02af3283744,active,-1,1.0,107.0,2026-02-16T22:43:44.918500+00:00,"{""amount"": 1, ""id"": ""2f91dcaa-614c-45ae-82a6-e02af3283744"", ""order_type"": -1, ""price"": 107, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:44.918500+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281824.922552
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,37ebe028-9997-4f08-9500-aa999999b6e3,active,1,1.0,93.0,2026-02-16T22:43:45.879010+00:00,"{""amount"": 1, ""id"": ""37ebe028-9997-4f08-9500-aa999999b6e3"", ""order_type"": 1, ""price"": 93, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:45.879010+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281825.89828
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,20d7cdee-75bd-40de-9063-afa316960de6,active,-1,1.0,95.0,2026-02-16T22:43:47.914762+00:00,"{""amount"": 1, ""id"": ""20d7cdee-75bd-40de-9063-afa316960de6"", ""order_type"": -1, ""price"": 95, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:47.914762+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281827.918643
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,20d7cdee-75bd-40de-9063-afa316960de6,executed,-1,0.0,95.0,2026-02-16T22:43:47.914762+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:47.930128+00:00"", ""id"": ""20d7cdee-75bd-40de-9063-afa316960de6"", ""order_type"": -1, ""price"": 95, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:47.914762+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281827.933521
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,edaf76b8-c767-44b8-810d-ac5920294a16,executed,1,0.0,95.0,2026-02-16T22:43:39.789454+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:47.936637+00:00"", ""id"": ""edaf76b8-c767-44b8-810d-ac5920294a16"", ""order_type"": 1, ""price"": 95, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:39.789454+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281827.939906
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,53a44f4e-e16a-4805-8eba-2c8a83fad94d,active,1,1.0,88.0,2026-02-16T22:43:49.563401+00:00,"{""amount"": 1, ""id"": ""53a44f4e-e16a-4805-8eba-2c8a83fad94d"", ""order_type"": 1, ""price"": 88, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:49.563401+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281829.620296
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,b16fbd5a-e780-435b-86ff-fe8b7ba57546,active,-1,1.0,93.0,2026-02-16T22:43:49.765794+00:00,"{""amount"": 1, ""id"": ""b16fbd5a-e780-435b-86ff-fe8b7ba57546"", ""order_type"": -1, ""price"": 93, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""active"", ""timestamp"": ""2026-02-16 22:43:49.765794+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281829.782093
20ce9b67-b549-4136-b8d2-451ac12f4c6e,371c5d88-aa0b-448d-94bc-1d7355ed4882,NOISE,b16fbd5a-e780-435b-86ff-fe8b7ba57546,executed,-1,0.0,93.0,2026-02-16T22:43:49.765794+00:00,"{""amount"": 0, ""execution_timestamp"": ""2026-02-16 22:43:49.798813+00:00"", ""id"": ""b16fbd5a-e780-435b-86ff-fe8b7ba57546"", ""order_type"": -1, ""price"": 93, ""session_id"": ""20ce9b67-b549-4136-b8d2-451ac12f4c6e"", ""status"": ""executed"", ""timestamp"": ""2026-02-16 22:43:49.765794+00:00"", ""trader_id"": ""371c5d88-aa0b-448d-94bc-1d7355ed4882""}",1771281829.80282
